cin-qua,ebv-qua,gs-qua,msi-qua
12.921,33.261,7.18,252.72
42.201,17.527,15.944,702.718
8.746,77.765,3.95,255.787
21.887,9.467,26.909,176.243
6.399,27.08,43.172,190.269
51.962,62.49,18.837,135.202
21.998,83.25,10.617,247.871
25.165,55.321,23.033,447.961
30.384,26.53,10.588,265.359
5.823,18.336,3.057,105.21
3.511,15.447,5.573,230.711
31.024,20.466,13.365,185.866
36.6,42.04,7.631,1119.592
25.751,24.491,0,157.433
30.411,33.8,2.53,87.08
27.897,17.617,14.036,202.996
31.892,39.592,17.084,233.536
26.823,15.483,2.999,250.51
22.171,15.083,14.007,122.395
21.41,5.765,19.712,264.682
36.181,27.236,19.24,162.733
22.117,63.746,9.594,56.263
42.601,,21.287,136.787
9.562,,4.335,282.173
11.465,,11.841,231.669
69.076,,4.75,168.346
6.624,,2.297,240.462
39.341,,3.648,170.535
15.445,,11.219,583.529
22.109,,5.87,282.75
18.655,,22.12,316.124
77.865,,20.015,169.238
39.647,,31.486,450.757
25.069,,38.22,167.296
32.016,,8.488,123.14
11.198,,10.196,234.85
26.608,,13.874,195.015
44.372,,17.323,247.63
29.899,,15.199,817.323
19.938,,30.183,307.115
18.038,,13.2,226.553
29.845,,11.27,219.7
8.463,,14.823,197.027
26.64,,36.634,160.104
22.388,,4.38,79.236
10.289,,30.183,238.576
14.284,,63.493,144.026
35.196,,0,112.845
44.889,,0.108,289.38
21.989,,26.323,217.943
26.345,,,148.968
6.46,,,296.087
39.507,,,268.351
6.725,,,141.646
13.044,,,207.254
35.224,,,318.038
14.462,,,270.284
12.521,,,274.616
40.113,,,230.988
15.86,,,141.671
15.897,,,129.42
15.359,,,193.691
51.649,,,
14.374,,,
37.357,,,
14.029,,,
47.161,,,
49.072,,,
13.308,,,
22.458,,,
7.152,,,
14.918,,,
32.957,,,
26.778,,,
21.99,,,
27.93,,,
21.311,,,
34.206,,,
15.01,,,
7.819,,,
42.202,,,
10.92,,,
24.355,,,
22.844,,,
13.46,,,
14.421,,,
24.37,,,
24.362,,,
7.579,,,
39.095,,,
31.294,,,
11.565,,,
12.234,,,
9.785,,,
16.094,,,
26.697,,,
48.83,,,
39.051,,,
20.096,,,
17.925,,,
25.524,,,
14.378,,,
52.29,,,
10.803,,,
9.157,,,
9.849,,,
47.118,,,
47.161,,,
15.365,,,
39.724,,,
29.825,,,
16.736,,,
8.482,,,
43.214,,,
29.354,,,
13.643,,,
24.008,,,
15.654,,,
19.03,,,
11.67,,,
28.186,,,
11.149,,,
32.479,,,
44.344,,,
9.642,,,
24.449,,,
16.186,,,
28.065,,,
39.836,,,
39.108,,,
49.156,,,
21.596,,,
39.745,,,
11.403,,,
23.805,,,
22.222,,,
35.337,,,
20.576,,,
