Amount,HLA,Avg_Amount
59,HLA-B27:05.csv,1.2291666666666667
198,HLA-B15:05.csv,4.125
218,HLA-A34:01.csv,4.541666666666667
110,HLA-A29:01.csv,2.2916666666666665
216,HLA-A30:04.csv,4.5
87,HLA-B07:05.csv,1.8125
64,HLA-B14:02.csv,1.3333333333333333
160,HLA-B42:01.csv,3.3333333333333335
482,HLA-C03:03.csv,10.041666666666666
87,HLA-B50:01.csv,1.8125
19,HLA-A26:01.csv,0.3958333333333333
41,HLA-B44:10.csv,0.8541666666666666
70,HLA-B39:01.csv,1.4583333333333333
48,HLA-B57:01.csv,1.0
110,HLA-B35:03.csv,2.2916666666666665
55,HLA-B53:01.csv,1.1458333333333333
87,HLA-B49:01.csv,1.8125
48,HLA-B57:03.csv,1.0
59,HLA-B27:04.csv,1.2291666666666667
9,HLA-B38:01.csv,0.1875
64,HLA-B40:12.csv,1.3333333333333333
87,HLA-B41:02.csv,1.8125
113,HLA-B58:01.csv,2.3541666666666665
218,HLA-A02:07.csv,4.541666666666667
25,HLA-A66:02.csv,0.5208333333333334
1017,HLA-C14:03.csv,21.1875
70,HLA-B39:10.csv,1.4583333333333333
218,HLA-A36:01.csv,4.541666666666667
218,HLA-A02:06.csv,4.541666666666667
60,HLA-B18:01.csv,1.25
46,HLA-B48:01.csv,0.9583333333333334
198,HLA-B15:32.csv,4.125
41,HLA-B44:03.csv,0.8541666666666666
218,HLA-A02:03.csv,4.541666666666667
87,HLA-B78:01.csv,1.8125
110,HLA-A29:02.csv,2.2916666666666665
101,HLA-B55:01.csv,2.1041666666666665
87,HLA-B59:01.csv,1.8125
25,HLA-A25:01.csv,0.5208333333333334
239,HLA-C15:02.csv,4.979166666666667
1026,HLA-C08:04.csv,21.375
87,HLA-B47:03.csv,1.8125
110,HLA-B35:01.csv,2.2916666666666665
1345,HLA-B52:01.csv,28.020833333333332
87,HLA-B47:01.csv,1.8125
11,HLA-C04:03.csv,0.22916666666666666
1026,HLA-C08:03.csv,21.375
59,HLA-B27:02.csv,1.2291666666666667
41,HLA-B44:02.csv,0.8541666666666666
233,HLA-A68:01.csv,4.854166666666667
1026,HLA-C08:02.csv,21.375
198,HLA-B15:11.csv,4.125
116,HLA-A11:02.csv,2.4166666666666665
22,HLA-A01:02.csv,0.4583333333333333
48,HLA-B57:02.csv,1.0
11,HLA-C02:10.csv,0.22916666666666666
165,HLA-A31:01.csv,3.4375
64,HLA-B14:01.csv,1.3333333333333333
87,HLA-B56:01.csv,1.8125
138,HLA-A32:01.csv,2.875
25,HLA-A66:01.csv,0.5208333333333334
87,HLA-A24:02.csv,1.8125
140,HLA-B37:01.csv,2.9166666666666665
104,HLA-A33:03.csv,2.1666666666666665
11,HLA-C18:01.csv,0.22916666666666666
2389,HLA-B81:01.csv,49.770833333333336
19,HLA-B51:07.csv,0.3958333333333333
87,HLA-B67:01.csv,1.8125
87,HLA-B13:01.csv,1.8125
128,HLA-C07:04.csv,2.6666666666666665
70,HLA-B39:06.csv,1.4583333333333333
198,HLA-B15:03.csv,4.125
110,HLA-B35:05.csv,2.2916666666666665
19,HLA-A26:03.csv,0.3958333333333333
113,HLA-B58:02.csv,2.3541666666666665
9,HLA-B38:02.csv,0.1875
60,HLA-B18:03.csv,1.25
11,HLA-C04:01.csv,0.22916666666666666
104,HLA-A33:01.csv,2.1666666666666665
19,HLA-A26:02.csv,0.3958333333333333
11,HLA-C16:01.csv,0.22916666666666666
46,HLA-B48:03.csv,0.9583333333333334
90,HLA-A03:02.csv,1.875
160,HLA-B42:02.csv,3.3333333333333335
482,HLA-C03:04.csv,10.041666666666666
198,HLA-B15:10.csv,4.125
1026,HLA-C08:01.csv,21.375
1298,HLA-A74:01.csv,27.041666666666668
1913,HLA-C12:03.csv,39.854166666666664
223,HLA-C06:02.csv,4.645833333333333
143,HLA-B08:01.csv,2.9791666666666665
110,HLA-B35:08.csv,2.2916666666666665
64,HLA-B14:03.csv,1.3333333333333333
218,HLA-A34:02.csv,4.541666666666667
87,HLA-B41:01.csv,1.8125
1017,HLA-C14:02.csv,21.1875
198,HLA-B15:16.csv,4.125
19,HLA-B51:02.csv,0.3958333333333333
23,HLA-A80:01.csv,0.4791666666666667
218,HLA-A02:01.csv,4.541666666666667
11,HLA-C01:02.csv,0.22916666666666666
87,HLA-B07:04.csv,1.8125
11,HLA-C02:02.csv,0.22916666666666666
233,HLA-A68:02.csv,4.854166666666667
116,HLA-A11:01.csv,2.4166666666666665
22,HLA-A01:01.csv,0.4583333333333333
90,HLA-A03:01.csv,1.875
59,HLA-B27:03.csv,1.2291666666666667
41,HLA-B44:05.csv,0.8541666666666666
59,HLA-A23:01.csv,1.2291666666666667
198,HLA-B15:08.csv,4.125
216,HLA-A30:01.csv,4.5
64,HLA-B40:02.csv,1.3333333333333333
218,HLA-A02:02.csv,4.541666666666667
87,HLA-B82:01.csv,1.8125
72,HLA-B54:01.csv,1.5
482,HLA-C03:02.csv,10.041666666666666
216,HLA-A30:02.csv,4.5
87,HLA-A24:07.csv,1.8125
48,HLA-B57:04.csv,1.0
101,HLA-B55:02.csv,2.1041666666666665
19,HLA-B51:08.csv,0.3958333333333333
128,HLA-C07:02.csv,2.6666666666666665
198,HLA-B15:18.csv,4.125
239,HLA-C15:05.csv,4.979166666666667
64,HLA-B40:06.csv,1.3333333333333333
87,HLA-A24:03.csv,1.8125
128,HLA-C07:01.csv,2.6666666666666665
198,HLA-B15:07.csv,4.125
8,HLA-B46:01.csv,0.16666666666666666
198,HLA-B15:02.csv,4.125
82,HLA-B45:01.csv,1.7083333333333333
87,HLA-B13:02.csv,1.8125
423,HLA-C05:01.csv,8.8125
198,HLA-B15:27.csv,4.125
11,HLA-C17:01.csv,0.22916666666666666
110,HLA-B35:02.csv,2.2916666666666665
218,HLA-A02:05.csv,4.541666666666667
198,HLA-B15:25.csv,4.125
19,HLA-B51:01.csv,0.3958333333333333
1913,HLA-C12:02.csv,39.854166666666664
64,HLA-B40:01.csv,1.3333333333333333
