Amount,HLA,Avg_Amount
37,HLA-B27:05.csv,2.0555555555555554
92,HLA-B15:05.csv,5.111111111111111
105,HLA-A34:01.csv,5.833333333333333
46,HLA-A29:01.csv,2.5555555555555554
78,HLA-A30:04.csv,4.333333333333333
29,HLA-B07:05.csv,1.6111111111111112
31,HLA-B14:02.csv,1.7222222222222223
54,HLA-B42:01.csv,3.0
205,HLA-C03:03.csv,11.38888888888889
29,HLA-B50:01.csv,1.6111111111111112
7,HLA-A26:01.csv,0.3888888888888889
17,HLA-B44:10.csv,0.9444444444444444
50,HLA-B39:01.csv,2.7777777777777777
9,HLA-B57:01.csv,0.5
45,HLA-B35:03.csv,2.5
17,HLA-B53:01.csv,0.9444444444444444
29,HLA-B49:01.csv,1.6111111111111112
9,HLA-B57:03.csv,0.5
37,HLA-B27:04.csv,2.0555555555555554
7,HLA-B38:01.csv,0.3888888888888889
20,HLA-B40:12.csv,1.1111111111111112
29,HLA-B41:02.csv,1.6111111111111112
31,HLA-B58:01.csv,1.7222222222222223
105,HLA-A02:07.csv,5.833333333333333
12,HLA-A66:02.csv,0.6666666666666666
420,HLA-C14:03.csv,23.333333333333332
50,HLA-B39:10.csv,2.7777777777777777
105,HLA-A36:01.csv,5.833333333333333
105,HLA-A02:06.csv,5.833333333333333
23,HLA-B18:01.csv,1.2777777777777777
13,HLA-B48:01.csv,0.7222222222222222
92,HLA-B15:32.csv,5.111111111111111
17,HLA-B44:03.csv,0.9444444444444444
105,HLA-A02:03.csv,5.833333333333333
29,HLA-B78:01.csv,1.6111111111111112
46,HLA-A29:02.csv,2.5555555555555554
44,HLA-B55:01.csv,2.4444444444444446
29,HLA-B59:01.csv,1.6111111111111112
9,HLA-A25:01.csv,0.5
92,HLA-C15:02.csv,5.111111111111111
496,HLA-C08:04.csv,27.555555555555557
29,HLA-B47:03.csv,1.6111111111111112
45,HLA-B35:01.csv,2.5
642,HLA-B52:01.csv,35.666666666666664
29,HLA-B47:01.csv,1.6111111111111112
8,HLA-C04:03.csv,0.4444444444444444
496,HLA-C08:03.csv,27.555555555555557
37,HLA-B27:02.csv,2.0555555555555554
17,HLA-B44:02.csv,0.9444444444444444
83,HLA-A68:01.csv,4.611111111111111
496,HLA-C08:02.csv,27.555555555555557
92,HLA-B15:11.csv,5.111111111111111
55,HLA-A11:02.csv,3.0555555555555554
16,HLA-A01:02.csv,0.8888888888888888
9,HLA-B57:02.csv,0.5
8,HLA-C02:10.csv,0.4444444444444444
69,HLA-A31:01.csv,3.8333333333333335
31,HLA-B14:01.csv,1.7222222222222223
29,HLA-B56:01.csv,1.6111111111111112
47,HLA-A32:01.csv,2.611111111111111
12,HLA-A66:01.csv,0.6666666666666666
51,HLA-A24:02.csv,2.8333333333333335
67,HLA-B37:01.csv,3.7222222222222223
48,HLA-A33:03.csv,2.6666666666666665
8,HLA-C18:01.csv,0.4444444444444444
1161,HLA-B81:01.csv,64.5
6,HLA-B51:07.csv,0.3333333333333333
29,HLA-B67:01.csv,1.6111111111111112
29,HLA-B13:01.csv,1.6111111111111112
59,HLA-C07:04.csv,3.2777777777777777
50,HLA-B39:06.csv,2.7777777777777777
92,HLA-B15:03.csv,5.111111111111111
45,HLA-B35:05.csv,2.5
7,HLA-A26:03.csv,0.3888888888888889
31,HLA-B58:02.csv,1.7222222222222223
7,HLA-B38:02.csv,0.3888888888888889
23,HLA-B18:03.csv,1.2777777777777777
8,HLA-C04:01.csv,0.4444444444444444
48,HLA-A33:01.csv,2.6666666666666665
7,HLA-A26:02.csv,0.3888888888888889
8,HLA-C16:01.csv,0.4444444444444444
13,HLA-B48:03.csv,0.7222222222222222
27,HLA-A03:02.csv,1.5
54,HLA-B42:02.csv,3.0
205,HLA-C03:04.csv,11.38888888888889
92,HLA-B15:10.csv,5.111111111111111
496,HLA-C08:01.csv,27.555555555555557
592,HLA-A74:01.csv,32.888888888888886
886,HLA-C12:03.csv,49.22222222222222
95,HLA-C06:02.csv,5.277777777777778
70,HLA-B08:01.csv,3.888888888888889
45,HLA-B35:08.csv,2.5
31,HLA-B14:03.csv,1.7222222222222223
105,HLA-A34:02.csv,5.833333333333333
29,HLA-B41:01.csv,1.6111111111111112
420,HLA-C14:02.csv,23.333333333333332
92,HLA-B15:16.csv,5.111111111111111
6,HLA-B51:02.csv,0.3333333333333333
16,HLA-A80:01.csv,0.8888888888888888
105,HLA-A02:01.csv,5.833333333333333
8,HLA-C01:02.csv,0.4444444444444444
29,HLA-B07:04.csv,1.6111111111111112
8,HLA-C02:02.csv,0.4444444444444444
83,HLA-A68:02.csv,4.611111111111111
55,HLA-A11:01.csv,3.0555555555555554
16,HLA-A01:01.csv,0.8888888888888888
27,HLA-A03:01.csv,1.5
37,HLA-B27:03.csv,2.0555555555555554
17,HLA-B44:05.csv,0.9444444444444444
36,HLA-A23:01.csv,2.0
92,HLA-B15:08.csv,5.111111111111111
78,HLA-A30:01.csv,4.333333333333333
20,HLA-B40:02.csv,1.1111111111111112
105,HLA-A02:02.csv,5.833333333333333
29,HLA-B82:01.csv,1.6111111111111112
