Amount,HLA,Avg_Amount,cinAmount,ebvAmount,gsAmount,msiAmount,Frequency
20493,HLA-B81:01.csv,195.1714286,2389,331,635,17138,0.007429922
15828,HLA-C12:02.csv,150.7428571,1913,263,497,13155,0.02108166
15828,HLA-C12:03.csv,150.7428571,1913,263,497,13155,0.038129853
11524,HLA-B52:01.csv,109.752381,1345,196,370,9613,0.018241192
10364,HLA-A74:01.csv,98.7047619,1298,174,356,8536,0.017456539
8736,HLA-C08:01.csv,83.2,1026,152,285,7273,0.036141901
8736,HLA-C08:02.csv,83.2,1026,152,285,7273,0.021366801
8736,HLA-C08:03.csv,83.2,1026,152,285,7273,0.002342704
8736,HLA-C08:04.csv,83.2,1026,152,285,7273,0.003333333
8474,HLA-C14:02.csv,80.7047619,1017,117,262,7078,0.020733601
8474,HLA-C14:03.csv,80.7047619,1017,117,262,7078,0.007692102
3661,HLA-C03:02.csv,34.86666667,482,75,100,3004,0.027416332
3661,HLA-C03:03.csv,34.86666667,482,75,100,3004,0.044161981
3661,HLA-C03:04.csv,34.86666667,482,75,100,3004,0.081589023
3251,HLA-C05:01.csv,30.96190476,423,50,97,2681,0.029751004
1926,HLA-A30:01.csv,18.34285714,216,27,58,1625,0.031893341
1926,HLA-A30:02.csv,18.34285714,216,27,58,1625,0.023830127
1926,HLA-A30:04.csv,18.34285714,216,27,58,1625,0.002014441
1899,HLA-C15:02.csv,18.08571429,239,28,68,1564,0.017730924
1899,HLA-C15:05.csv,18.08571429,239,28,68,1564,0.006009371
1772,HLA-A68:01.csv,16.87619048,233,26,60,1453,0.023142245
1772,HLA-A68:02.csv,16.87619048,233,26,60,1453,0.023828778
1734,HLA-B15:01.csv,16.51428571,198,34,61,1441,0.063174206
1734,HLA-B15:02.csv,16.51428571,198,34,61,1441,0.022289767
1734,HLA-B15:03.csv,16.51428571,198,34,61,1441,0.022627833
1734,HLA-B15:05.csv,16.51428571,198,34,61,1441,0.000675447
1734,HLA-B15:07.csv,16.51428571,198,34,61,1441,0.001688619
1734,HLA-B15:08.csv,16.51428571,198,34,61,1441,0.000675447
1734,HLA-B15:10.csv,16.51428571,198,34,61,1441,0.009793989
1734,HLA-B15:11.csv,16.51428571,198,34,61,1441,0.004390409
1734,HLA-B15:16.csv,16.51428571,198,34,61,1441,0.004390409
1734,HLA-B15:17.csv,16.51428571,198,34,61,1441,0.003040541
1734,HLA-B15:18.csv,16.51428571,198,34,61,1441,0.008106055
1734,HLA-B15:25.csv,16.51428571,198,34,61,1441,0.004728132
1734,HLA-B15:27.csv,16.51428571,198,34,61,1441,0.001350895
1734,HLA-B15:32.csv,16.51428571,198,34,61,1441,0.002026342
1718,HLA-C06:02.csv,16.36190476,223,27,54,1414,0.086191432
1698,HLA-A02:01.csv,16.17142857,218,30,50,1400,0.165735178
1698,HLA-A02:02.csv,16.17142857,218,30,50,1400,0.015105065
1698,HLA-A02:03.csv,16.17142857,218,30,50,1400,0.017508418
1698,HLA-A02:05.csv,16.17142857,218,30,50,1400,0.010737479
1698,HLA-A02:06.csv,16.17142857,218,30,50,1400,0.016494933
1698,HLA-A02:07.csv,16.17142857,218,30,50,1400,0.026936027
1698,HLA-A34:01.csv,16.17142857,218,30,50,1400,0.001682484
1698,HLA-A34:02.csv,16.17142857,218,30,50,1400,0.011412551
