Amount,HLA,Avg_Amount
23,HLA-B27:05.csv,1.2105263157894737
61,HLA-B15:05.csv,3.210526315789474
50,HLA-A34:01.csv,2.6315789473684212
22,HLA-A29:01.csv,1.1578947368421053
58,HLA-A30:04.csv,3.0526315789473686
29,HLA-B07:05.csv,1.5263157894736843
27,HLA-B14:02.csv,1.4210526315789473
46,HLA-B42:01.csv,2.4210526315789473
100,HLA-C03:03.csv,5.2631578947368425
29,HLA-B50:01.csv,1.5263157894736843
3,HLA-A26:01.csv,0.15789473684210525
13,HLA-B44:10.csv,0.6842105263157895
22,HLA-B39:01.csv,1.1578947368421053
19,HLA-B57:01.csv,1.0
23,HLA-B35:03.csv,1.2105263157894737
8,HLA-B53:01.csv,0.42105263157894735
29,HLA-B49:01.csv,1.5263157894736843
19,HLA-B57:03.csv,1.0
23,HLA-B27:04.csv,1.2105263157894737
2,HLA-B38:01.csv,0.10526315789473684
19,HLA-B40:12.csv,1.0
29,HLA-B41:02.csv,1.5263157894736843
33,HLA-B58:01.csv,1.736842105263158
50,HLA-A02:07.csv,2.6315789473684212
9,HLA-A66:02.csv,0.47368421052631576
262,HLA-C14:03.csv,13.789473684210526
22,HLA-B39:10.csv,1.1578947368421053
50,HLA-A36:01.csv,2.6315789473684212
50,HLA-A02:06.csv,2.6315789473684212
10,HLA-B18:01.csv,0.5263157894736842
11,HLA-B48:01.csv,0.5789473684210527
61,HLA-B15:32.csv,3.210526315789474
13,HLA-B44:03.csv,0.6842105263157895
50,HLA-A02:03.csv,2.6315789473684212
29,HLA-B78:01.csv,1.5263157894736843
22,HLA-A29:02.csv,1.1578947368421053
37,HLA-B55:01.csv,1.9473684210526316
29,HLA-B59:01.csv,1.5263157894736843
5,HLA-A25:01.csv,0.2631578947368421
68,HLA-C15:02.csv,3.5789473684210527
285,HLA-C08:04.csv,15.0
29,HLA-B47:03.csv,1.5263157894736843
23,HLA-B35:01.csv,1.2105263157894737
370,HLA-B52:01.csv,19.473684210526315
29,HLA-B47:01.csv,1.5263157894736843
2,HLA-C04:03.csv,0.10526315789473684
285,HLA-C08:03.csv,15.0
23,HLA-B27:02.csv,1.2105263157894737
13,HLA-B44:02.csv,0.6842105263157895
60,HLA-A68:01.csv,3.1578947368421053
285,HLA-C08:02.csv,15.0
61,HLA-B15:11.csv,3.210526315789474
30,HLA-A11:02.csv,1.5789473684210527
4,HLA-A01:02.csv,0.21052631578947367
19,HLA-B57:02.csv,1.0
2,HLA-C02:10.csv,0.10526315789473684
46,HLA-A31:01.csv,2.4210526315789473
27,HLA-B14:01.csv,1.4210526315789473
29,HLA-B56:01.csv,1.5263157894736843
38,HLA-A32:01.csv,2.0
9,HLA-A66:01.csv,0.47368421052631576
22,HLA-A24:02.csv,1.1578947368421053
43,HLA-B37:01.csv,2.263157894736842
31,HLA-A33:03.csv,1.631578947368421
2,HLA-C18:01.csv,0.10526315789473684
635,HLA-B81:01.csv,33.421052631578945
4,HLA-B51:07.csv,0.21052631578947367
29,HLA-B67:01.csv,1.5263157894736843
29,HLA-B13:01.csv,1.5263157894736843
29,HLA-C07:04.csv,1.5263157894736843
22,HLA-B39:06.csv,1.1578947368421053
61,HLA-B15:03.csv,3.210526315789474
23,HLA-B35:05.csv,1.2105263157894737
3,HLA-A26:03.csv,0.15789473684210525
33,HLA-B58:02.csv,1.736842105263158
2,HLA-B38:02.csv,0.10526315789473684
10,HLA-B18:03.csv,0.5263157894736842
2,HLA-C04:01.csv,0.10526315789473684
31,HLA-A33:01.csv,1.631578947368421
3,HLA-A26:02.csv,0.15789473684210525
2,HLA-C16:01.csv,0.10526315789473684
11,HLA-B48:03.csv,0.5789473684210527
19,HLA-A03:02.csv,1.0
46,HLA-B42:02.csv,2.4210526315789473
100,HLA-C03:04.csv,5.2631578947368425
61,HLA-B15:10.csv,3.210526315789474
285,HLA-C08:01.csv,15.0
356,HLA-A74:01.csv,18.736842105263158
497,HLA-C12:03.csv,26.157894736842106
54,HLA-C06:02.csv,2.8421052631578947
45,HLA-B08:01.csv,2.3684210526315788
23,HLA-B35:08.csv,1.2105263157894737
27,HLA-B14:03.csv,1.4210526315789473
50,HLA-A34:02.csv,2.6315789473684212
29,HLA-B41:01.csv,1.5263157894736843
262,HLA-C14:02.csv,13.789473684210526
61,HLA-B15:16.csv,3.210526315789474
4,HLA-B51:02.csv,0.21052631578947367
8,HLA-A80:01.csv,0.42105263157894735
50,HLA-A02:01.csv,2.6315789473684212
2,HLA-C01:02.csv,0.10526315789473684
29,HLA-B07:04.csv,1.5263157894736843
2,HLA-C02:02.csv,0.10526315789473684
60,HLA-A68:02.csv,3.1578947368421053
30,HLA-A11:01.csv,1.5789473684210527
4,HLA-A01:01.csv,0.21052631578947367
19,HLA-A03:01.csv,1.0
23,HLA-B27:03.csv,1.2105263157894737
13,HLA-B44:05.csv,0.6842105263157895
21,HLA-A23:01.csv,1.105263157894737
61,HLA-B15:08.csv,3.210526315789474
58,HLA-A30:01.csv,3.0526315789473686
19,HLA-B40:02.csv,1.0
50,HLA-A02:02.csv,2.6315789473684212
29,HLA-B82:01.csv,1.5263157894736843
11,HLA-B54:01.csv,0.5789473684210527
100,HLA-C03:02.csv,5.2631578947368425
58,HLA-A30:02.csv,3.0526315789473686
22,HLA-A24:07.csv,1.1578947368421053
19,HLA-B57:04.csv,1.0
37,HLA-B55:02.csv,1.9473684210526316
