Amount,HLA,Avg_Amount
578,HLA-B27:05.csv,17.0
1441,HLA-B15:05.csv,42.38235294117647
1400,HLA-A34:01.csv,41.1764705882353
713,HLA-A29:01.csv,20.970588235294116
1625,HLA-A30:04.csv,47.794117647058826
574,HLA-B07:05.csv,16.88235294117647
530,HLA-B14:02.csv,15.588235294117647
1138,HLA-B42:01.csv,33.470588235294116
3004,HLA-C03:03.csv,88.3529411764706
574,HLA-B50:01.csv,16.88235294117647
138,HLA-A26:01.csv,4.0588235294117645
337,HLA-B44:10.csv,9.911764705882353
550,HLA-B39:01.csv,16.176470588235293
319,HLA-B57:01.csv,9.382352941176471
719,HLA-B35:03.csv,21.147058823529413
373,HLA-B53:01.csv,10.970588235294118
574,HLA-B49:01.csv,16.88235294117647
319,HLA-B57:03.csv,9.382352941176471
578,HLA-B27:04.csv,17.0
94,HLA-B38:01.csv,2.764705882352941
456,HLA-B40:12.csv,13.411764705882353
574,HLA-B41:02.csv,16.88235294117647
668,HLA-B58:01.csv,19.647058823529413
1400,HLA-A02:07.csv,41.1764705882353
172,HLA-A66:02.csv,5.0588235294117645
7078,HLA-C14:03.csv,208.1764705882353
550,HLA-B39:10.csv,16.176470588235293
1400,HLA-A36:01.csv,41.1764705882353
1400,HLA-A02:06.csv,41.1764705882353
455,HLA-B18:01.csv,13.382352941176471
212,HLA-B48:01.csv,6.235294117647059
1441,HLA-B15:32.csv,42.38235294117647
337,HLA-B44:03.csv,9.911764705882353
1400,HLA-A02:03.csv,41.1764705882353
574,HLA-B78:01.csv,16.88235294117647
713,HLA-A29:02.csv,20.970588235294116
706,HLA-B55:01.csv,20.764705882352942
574,HLA-B59:01.csv,16.88235294117647
181,HLA-A25:01.csv,5.323529411764706
1564,HLA-C15:02.csv,46.0
7273,HLA-C08:04.csv,213.91176470588235
574,HLA-B47:03.csv,16.88235294117647
719,HLA-B35:01.csv,21.147058823529413
9613,HLA-B52:01.csv,282.7352941176471
574,HLA-B47:01.csv,16.88235294117647
101,HLA-C04:03.csv,2.9705882352941178
7273,HLA-C08:03.csv,213.91176470588235
578,HLA-B27:02.csv,17.0
337,HLA-B44:02.csv,9.911764705882353
1453,HLA-A68:01.csv,42.73529411764706
7273,HLA-C08:02.csv,213.91176470588235
1441,HLA-B15:11.csv,42.38235294117647
827,HLA-A11:02.csv,24.323529411764707
167,HLA-A01:02.csv,4.911764705882353
319,HLA-B57:02.csv,9.382352941176471
101,HLA-C02:10.csv,2.9705882352941178
1264,HLA-A31:01.csv,37.1764705882353
530,HLA-B14:01.csv,15.588235294117647
574,HLA-B56:01.csv,16.88235294117647
813,HLA-A32:01.csv,23.91176470588235
172,HLA-A66:01.csv,5.0588235294117645
560,HLA-A24:02.csv,16.470588235294116
870,HLA-B37:01.csv,25.58823529411765
719,HLA-A33:03.csv,21.147058823529413
101,HLA-C18:01.csv,2.9705882352941178
17138,HLA-B81:01.csv,504.05882352941177
134,HLA-B51:07.csv,3.9411764705882355
574,HLA-B67:01.csv,16.88235294117647
574,HLA-B13:01.csv,16.88235294117647
885,HLA-C07:04.csv,26.029411764705884
