Amount,HLA,Avg_Amount
457,HLA-B27:05.csv,16.321428571428573
1225,HLA-B15:05.csv,43.75
1138,HLA-A34:01.csv,40.642857142857146
638,HLA-A29:01.csv,22.785714285714285
1278,HLA-A30:04.csv,45.642857142857146
471,HLA-B07:05.csv,16.821428571428573
519,HLA-B14:02.csv,18.535714285714285
964,HLA-B42:01.csv,34.42857142857143
2454,HLA-C03:03.csv,87.64285714285714
471,HLA-B50:01.csv,16.821428571428573
93,HLA-A26:01.csv,3.3214285714285716
262,HLA-B44:10.csv,9.357142857142858
470,HLA-B39:01.csv,16.785714285714285
221,HLA-B57:01.csv,7.892857142857143
601,HLA-B35:03.csv,21.464285714285715
278,HLA-B53:01.csv,9.928571428571429
471,HLA-B49:01.csv,16.821428571428573
221,HLA-B57:03.csv,7.892857142857143
457,HLA-B27:04.csv,16.321428571428573
76,HLA-B38:01.csv,2.7142857142857144
360,HLA-B40:12.csv,12.857142857142858
471,HLA-B41:02.csv,16.821428571428573
508,HLA-B58:01.csv,18.142857142857142
1138,HLA-A02:07.csv,40.642857142857146
133,HLA-A66:02.csv,4.75
5897,HLA-C14:03.csv,210.60714285714286
470,HLA-B39:10.csv,16.785714285714285
1138,HLA-A36:01.csv,40.642857142857146
1138,HLA-A02:06.csv,40.642857142857146
366,HLA-B18:01.csv,13.071428571428571
186,HLA-B48:01.csv,6.642857142857143
1225,HLA-B15:32.csv,43.75
262,HLA-B44:03.csv,9.357142857142858
1138,HLA-A02:03.csv,40.642857142857146
471,HLA-B78:01.csv,16.821428571428573
638,HLA-A29:02.csv,22.785714285714285
587,HLA-B55:01.csv,20.964285714285715
471,HLA-B59:01.csv,16.821428571428573
151,HLA-A25:01.csv,5.392857142857143
1192,HLA-C15:02.csv,42.57142857142857
6006,HLA-C08:04.csv,214.5
471,HLA-B47:03.csv,16.821428571428573
601,HLA-B35:01.csv,21.464285714285715
7983,HLA-B52:01.csv,285.10714285714283
471,HLA-B47:01.csv,16.821428571428573
73,HLA-C04:03.csv,2.607142857142857
6006,HLA-C08:03.csv,214.5
457,HLA-B27:02.csv,16.321428571428573
262,HLA-B44:02.csv,9.357142857142858
